Product Name,Comapny,Product Link,Product Cost,Product Amount,Cost,Running Total,Do I have it?,My Total,
Various capacitors,,,,,0,74.93,Yes,40.94,"might be slightly cheaper on lcsc, but just get a variety pack"
Various Resistors,,,,,0,74.93,Yes,40.94,"might be slightly cheaper on lcsc, but just get a variety pack"
20k Resistors,LCSC,https://www.lcsc.com/product-detail/C119609.html?s_z=n_20k%2520resistor%2520tht,0.046,10,0.46,75.39,No,41.4,I need 20k resistors
THT LED,,,,,0,75.39,Yes,41.4,Optional for debugging
Diodes,LCSC,https://www.lcsc.com/product-detail/C402212.html?s_z=n_1n4148%2520diode,0.009,50,0.45,75.84,No,41.85,
PCM5100 I2S DAC,LCSC,https://www.lcsc.com/product-detail/C544856.html?s_z=n_pcm5100,1.06,1,1.06,76.9,No,42.91,
LM4861 Speaker Amp,LCSC,https://www.lcsc.com/product-detail/C383073.html?s_z=n_lm4861,0.169,5,0.845,77.745,No,43.755,Make sure to get an amp thats good for your speaker if you have one already. most are pin compatible
LM4810 Headphone Amp,LCSC,https://www.lcsc.com/product-detail/C2871753.html?s_z=n_lm4810,0.59,1,0.59,78.335,No,44.345,
Various M4 Hardware,,,,,,,,,
LCSC Shipping estimate and fees,,,,,11.31,,,,
Aliexpress Shipping,,,,,1.99,,,,If you buy more than i did you might get free shipping
With Taxes,,,,,47.01,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,96.73,,60.31,FINAL TOTAL
