Product Name,Comapny,Product Link,Product Cost,Product Amount,Cost,Running Total,Do I have it?,My Total,
Various capacitors,,,,,0,101.86,Yes,67.87,"might be slightly cheaper on lcsc, but just get a variety pack"
Various Resistors,,,,,0,101.86,Yes,67.87,"might be slightly cheaper on lcsc, but just get a variety pack"
20k Resistors,LCSC,https://www.lcsc.com/product-detail/C119609.html?s_z=n_20k%2520resistor%2520tht,0.046,10,0.46,102.32,No,68.33,I need 20k resistors
THT LED,,,,,0,102.32,Yes,68.33,Optional for debugging
Diodes,LCSC,https://www.lcsc.com/product-detail/C84410.html?s_z=n_1N4148,0.015,50,0.75,103.07,No,69.08,
PCM5100 I2S DAC,LCSC,https://www.lcsc.com/product-detail/C544856.html?s_z=n_pcm5100,1.06,1,1.06,104.13,No,70.14,
LM4861 Speaker Amp,LCSC,https://www.lcsc.com/product-detail/C383073.html?s_z=n_lm4861,0.169,5,0.845,104.975,No,70.98,Make sure to get an amp thats good for your speaker if you have one already. most are pin compatible
LM4810 Headphone Amp,LCSC,https://www.lcsc.com/product-detail/C2871753.html?s_z=n_lm4810,0.59,1,0.59,105.565,No,71.57,
Various M4 Hardware,,,,,,,,,
LCSC Shipping estimate and fees,,,,,11.37,,,,
With Taxes,,,,,75.86,,,,
,,,,,,,,,
,,,,,,116.93,,87.23,FINAL TOTAL
